frame,phase,pelvis_tx,pelvis_ty,ncon,r_heel_btm_x,r_heel_btm_z,r_heel_btm_terrain_z,r_heel_btm_clearance,r_heel_btm_surface,r_heel_btm_edge_margin,r_toe_btm_x,r_toe_btm_z,r_toe_btm_terrain_z,r_toe_btm_clearance,r_toe_btm_surface,r_toe_btm_edge_margin,l_heel_btm_x,l_heel_btm_z,l_heel_btm_terrain_z,l_heel_btm_clearance,l_heel_btm_surface,l_heel_btm_edge_margin,l_toe_btm_x,l_toe_btm_z,l_toe_btm_terrain_z,l_toe_btm_clearance,l_toe_btm_surface,l_toe_btm_edge_margin
0,0,0.3499999940395355,0.9387088418006897,8,-0.0039629283077859175,0.10086546526853027,0.0,0.10086546526853027,,,0.14551669417602958,0.0435868276622378,0.0235868067796604,0.0200000208825774,,,0.5944428657267355,0.14469953245452183,0.09635326788336118,0.048346264571160646,,,0.7407755343642103,0.20959752868526396,0.12007233599611622,0.08952519268914774,,
1,1,0.39202215895056725,0.9492436051368713,9,0.054833758234852696,0.13590833424560358,0.008888006065637602,0.12702032817996597,,,0.1904570778410667,0.05087119601121913,0.03087119536554161,0.02000000064567752,,,0.6225091740538196,0.1424975616803872,0.10090253692275057,0.04159502475763664,,,0.766935337700581,0.2115343855979172,0.12431257956530067,0.08722180603261653,,
2,2,0.42636479437351227,0.9486061334609985,6,0.11037653938283017,0.1593243219217486,0.017890937683624517,0.1414333842381241,,,0.23428532032950863,0.057975352621000745,0.03797531694362286,0.020000035677377882,,,0.6372480230374186,0.12593934351229455,0.10329155754405608,0.022647785968238465,,,0.780837584518751,0.19669976766271147,0.12656599530814772,0.07013377235456375,,
3,3,0.46573199331760406,0.9687303304672241,4,0.18381224793726444,0.2022726071696933,0.02979413462064111,0.1724784725490522,,,0.3044283163531167,0.09702640258003993,0.04934479797480933,0.0476816046052306,,,0.6448949764703964,0.12453108623900686,0.1045310525318856,0.02000003370712125,,,0.7884846344303399,0.19529131461127713,0.12780550593419918,0.06748580867707796,,
4,4,0.504901260137558,0.9901409149169922,2,0.2653123031193291,0.23662930872424465,0.04300448182510417,0.19362482689914048,,,0.3924428728671987,0.1393522927176858,0.06361108096075915,0.07574121175692664,,,0.6418229833188793,0.12403308912841085,0.10403311303907647,0.019999976089334376,,,0.7865232651949947,0.1924935027307309,0.1274875875163873,0.0650059152143436,,
5,5,0.5383038371801376,1.005375862121582,2,0.34031163372199585,0.254088790804993,0.05516112632246365,0.19892766448252938,,,0.47609776696062467,0.1693118734156645,0.07717070609055833,0.09214116732510617,,,0.631524904624281,0.12236386504017419,0.10236389705154589,0.019999967988628298,,,0.7778914662257844,0.18718538516038674,0.12608845887619605,0.061096926284190695,,
6,6,0.5769526213407516,1.0182044506072998,2,0.43811494619281743,0.25932888944209403,0.07101406915299162,0.1883148202891024,,,0.5847927996746276,0.1952148728194117,0.09478908829097236,0.10042578452843932,,,0.6181558110134379,0.12019692995075466,0.10019690013340057,0.02000002981735409,,,0.7666662990015174,0.17994335084358035,0.12426897107180791,0.055674379771772434,,
7,7,0.6152856051921844,1.0266607999801636,2,0.5503655580891893,0.25368909907276893,0.08920877532529901,0.1644803237474699,,,0.7057630662038406,0.2152623582466359,0.11439716363150315,0.10086519461513274,,,0.6091967759699725,0.11874469652589606,0.09874472978484387,0.019999966741052186,,,0.7595977085953698,0.17355855737154025,0.12312322297013183,0.05043533440140842,,
8,8,0.6480674147605896,1.031295895576477,2,0.6567640756775365,0.2459809433996548,0.10645491529713491,0.13952602810251988,,,0.8162484901517979,0.23220699944979598,0.1323057504186445,0.09990124903115147,,,0.6051814864986558,0.11809389937307851,0.09809389135382657,0.020000008019251947,,,0.7569476796780915,0.16900580859209993,0.12269367967692903,0.046312128915170905,,
9,9,0.6865832507610321,1.0343878269195557,2,0.7892437009815905,0.24018136743274138,0.12792854306185403,0.11225282437088735,,,0.948509675523574,0.2562856942561917,0.1537439712460031,0.10254172301018857,,,0.603890586304801,0.11788464286175326,0.09788464928976863,0.019999993571984634,,,0.7570023150211881,0.16459436817668044,0.12270253552187697,0.041891832654803465,,
10,10,0.725417286157608,1.034892201423645,2,0.9216912166344512,0.2419889211236154,0.14939696617192685,0.09259195495168854,,,1.0757251133359438,0.28556137329487763,0.17436432664962764,0.11119704664524999,,,0.6033855680434523,0.11780280964716511,0.0978027908595859,0.020000018787579205,,,0.7577535870321073,0.16017632306126284,0.12282430923217774,0.037352013829085096,,
11,11,0.7593487203121185,1.0325639247894287,2,1.0249342761120472,0.24800681424512708,0.16613163781237278,0.0818751764327543,,,1.1721892383453547,0.3107840070322143,0.19000020053096806,0.12078380650124626,,,0.6003906633166025,0.11731742586231676,0.09731734663261463,0.020000079229702136,,,0.7559652753242565,0.15502074189305634,0.12253444171591975,0.03248630017713659,,
12,12,0.8006075322628021,1.024843454360962,2,1.120531420209138,0.25116770358136004,0.181626982722956,0.06954072085840404,,,1.260416876529456,0.3289948123472535,0.2043010219333346,0.12469379041391887,,,0.5904126132451469,0.1156999713508348,0.09570000409741039,0.019999967253424414,,,0.7476646015322088,0.14564679326190266,0.12118898516893978,0.024457808092962885,,
13,13,0.8441930115222931,1.017784595489502,2,1.1809644488468767,0.24771304269469677,0.19142257475216817,0.056290467942528594,,,1.3181528654229298,0.3302014544575979,0.2136594506825173,0.11654200377508062,,,0.5756257990860372,0.12039128566535971,0.09330320879888772,0.027088076866471994,,,0.734610047812464,0.13907305866525374,0.1190729720343242,0.020000086630929545,,
14,14,0.8835157454013824,1.0143214464187622,2,1.2037128729082993,0.23960975744955093,0.19510986771822114,0.04449988973132979,,,1.3439100944328062,0.31687384243883626,0.21783444096301732,0.09903940147581894,,,0.5640715419492454,0.13147281214560463,0.09143037879741485,0.040042433348189785,,,0.7240413603095555,0.13735984979896343,0.11735989305423025,0.019999956744733177,,
15,15,0.9314384758472443,1.0110071897506714,5,1.205014027771032,0.2267030214528278,0.19532077196196768,0.03138224949086013,,,1.3515286328567706,0.2911892240399706,0.21906933016089924,0.07211989387907136,,,0.5566418374106233,0.14928124029107162,0.09022609769156142,0.059055142599510196,,,0.7161750794685341,0.13608485172184853,0.11608484727805786,0.020000004443790673,,
16,16,0.9805816113948822,1.0121641159057617,5,1.2026119864586506,0.2190172244545647,0.19493142498956212,0.024085799465002583,,,1.352809612762401,0.2743857437193905,0.21927696424504206,0.055108779474348446,,,0.5608917859236817,0.17404136534312672,0.090914972016041,0.08312639332708573,,,0.7164142871470149,0.13612367087719296,0.11612362046023113,0.02000005041696183,,
17,17,1.0221055448055267,1.0201876163482666,5,1.2098824509414843,0.21939940427376506,0.19610989486840322,0.02328950940536184,,,1.3605871438160242,0.27337250335820434,0.2205376245646251,0.05283487879357923,,,0.580822840273573,0.2014194652724249,0.09414559741285705,0.10727386785956786,,,0.7277881685024055,0.13796718295242127,0.11796721334408164,0.019999969608339635,,
18,18,1.0679040849208832,1.0326062440872192,5,1.224874446762235,0.22003573882749367,0.19853994807066852,0.021495790756825145,,,1.3747976606943457,0.27614304489106756,0.2228410078138529,0.05330203707721465,,,0.6233840869255672,0.23697898131229267,0.10104435158512866,0.13593462972716402,,,0.7521825448326308,0.14192133108873956,0.12192129877922292,0.020000032309516635,,
19,19,1.1103635728359222,1.0490331649780273,8,1.238068856185608,0.2206786754666566,0.20067863042187942,0.020000045044777176,,,1.3872276002231392,0.2787877878080882,0.22485577720927263,0.05393201059881558,,,0.6823900964810637,0.2796423365672204,0.11060863803421947,0.1690336985330009,,,0.7868500747274447,0.1583447177341049,0.1275405600865745,0.030804157647530417,,
20,20,1.1448239386081696,1.065911889076233,4,1.2467223181838758,0.2220813019411394,0.20208127042331714,0.02000003151782226,,,1.395486507592518,0.2811931941852351,0.22619446383513153,0.05499873035010355,,,0.7443777268313991,0.31655919616585165,0.12065621551721055,0.1959029806486411,,,0.8331743881577944,0.1833670334776278,0.1350492699034724,0.0483177635741554,,
21,21,1.1835001409053802,1.0856692790985107,4,1.2560787216597793,0.22359791024136863,0.20359785023698249,0.020000060004386144,,,1.4045757790287028,0.28337770452476685,0.22766774420579358,0.05570996031897327,,,0.8274321351522513,0.3477539609089686,0.1341185078841138,0.2136354530248548,,,0.9166452431612764,0.21484037760490882,0.148579064129821,0.06626131347508782,,
22,22,1.2210728228092194,1.1037906408309937,3,1.2666720407232128,0.22531490197540627,0.20531492174770719,0.019999980227699082,,,1.4152501950150131,0.2848928502451805,0.22939796071999127,0.055494889525189245,,,0.9240447884516153,0.3622933329582391,0.14977845672191387,0.21251487623632526,,,1.0280227348644817,0.24058225685826198,0.16663224621509323,0.07395001064316875,,
23,23,1.2532484233379364,1.1167113780975342,2,1.274014878917137,0.22650510449432792,0.2065051226842739,0.019999981810054024,,,1.4232492975673623,0.28441959448628606,0.23069453557266564,0.05372505891362042,,,1.0153979431516826,0.3645652873994125,0.16458589322137396,0.19997939417803856,,,1.1351779924027063,0.25836858625614645,0.18400104619567437,0.07436754006047208,,
24,24,1.290836900472641,1.1275051832199097,2,1.2746863439912526,0.2266140089349617,0.2066139604849959,0.020000048449965807,,,1.4254517837632252,0.2804171877472895,0.2310515366482525,0.04936565109903701,,,1.1261303822380124,0.35873629061773893,0.18253451870217471,0.17620177191556421,,,1.2637952143240236,0.2770454482302872,0.20484861684158956,0.07219683138869765,,
25,25,1.3281324207782745,1.1326487064361572,2,1.2643776052253184,0.224942987699006,0.20494301660607606,0.019999971092929947,,,1.4171258980742998,0.2728278385041224,0.22970199350389917,0.043125845000223234,,,1.238647988445902,0.34636838695991823,0.2007725019931158,0.14559588496680242,,,1.3897612458528064,0.2935499875125963,0.2252664559307312,0.06828353158186512,,
26,26,1.3598860204219818,1.1325206756591797,2,1.2506159661097906,0.22271243058800103,0.2027123919713746,0.020000038616626414,,,1.4050428845973297,0.2648707841224276,0.22774345736609655,0.03712732675633104,,,1.3379196329260532,0.3325320901350879,0.21686344681776926,0.11566864331731863,,,1.4956825065526889,0.30540506164783965,0.2424352373144256,0.06296982433341405,,
27,27,1.3969777524471283,1.128546118736267,2,1.2352106391471587,0.22021536689437976,0.2002153419077885,0.02000002498659126,,,1.391181198319283,0.2562456960310475,0.2254966160828205,0.03074907994822701,,,1.4587409676050995,0.31644624913561414,0.23644738178874927,0.07999886734686487,,,1.6187922996148043,0.319373896922454,0.2623901085962556,0.05698378832619838,,
28,28,1.4346224963665009,1.1206860542297363,2,1.2199154130500427,0.21773615039807528,0.19773613809789792,0.020000012300177367,,,1.3771343817638357,0.24785584227810967,0.22321976702547539,0.024636075252634282,,,1.576537586707695,0.3035218930536998,0.2555410404909537,0.04798085256274609,,,1.7339724496319142,0.3324919448525211,0.28105966371973495,0.05143228113278614,,
29,29,1.4679706990718842,1.1112189292907715,2,1.2045438855910984,0.21676887614001472,0.19524456659721653,0.021524309542798187,,,1.362793436020961,0.2408952054216597,0.220895242556375,0.019999962865284715,,,1.6636518141763004,0.29464943986178027,0.2696613891059091,0.024988050755871183,,,1.8174238543401802,0.3391371862843452,0.29458630524695395,0.04455088103739124,,
30,30,1.5085789859294891,1.1162490844726562,2,1.1880993438022085,0.23612594042488216,0.19257907016087372,0.04354687026400844,,,1.3474417847133064,0.25145521029490264,0.21840689278185121,0.03304831751305143,,,1.741863269464495,0.30233874666503935,0.2823386870220308,0.02000005964300855,,,1.8923490663860891,0.35691919006124806,0.3067309358644838,0.05018825419676426,,
31,31,1.5508907735347748,1.1223206520080566,2,1.1854415127011764,0.2573324785690972,0.19214826221139417,0.06518421635770302,,,1.3454467471284095,0.2621620701583327,0.21808351705991377,0.04407855309841893,,,1.797458820498189,0.311350104335628,0.29135017211290426,0.019999932222723726,,,1.9471837147117306,0.3679845101303766,0.315619086204973,0.05236542392540361,,
32,32,1.5883333384990692,1.1255691051483154,2,1.2005597841759803,0.2705891234881384,0.194598783439476,0.0759903400486624,,,1.360532493753191,0.26478118158704494,0.22052876633375448,0.04425241525329046,,,1.8316046617358748,0.31688489894647043,0.2968848728849544,0.02000002606151602,,,1.9825100813978145,0.3702942071085578,0.321345138394175,0.048949068714382815,,
33,33,1.633380264043808,1.1297763586044312,2,1.2350706289382336,0.28375725909787647,0.20019264764742342,0.08356461145045305,,,1.393560155935765,0.26126126365177527,0.22588222141803438,0.03537904223374089,,,1.8639756966848937,0.3221318815612258,0.30213189523468226,0.01999998632654354,,,2.016064865574692,0.37207069014717503,0.3267840347035964,0.04528665544357863,,
34,34,1.6788075864315033,1.1369397640228271,4,1.2812855098708995,0.30165445866194474,0.20768361954639447,0.09397083911555026,,,1.4347353907321518,0.25606790387346384,0.23255631687319012,0.023511587000273726,,,1.8985557015081584,0.3277369306529604,0.30773696959968544,0.01999996105327495,,,2.0500821072799176,0.3793581302068234,0.3322978907722861,0.0470602394345373,,
