frame,phase,pelvis_tx,pelvis_ty,ncon,r_heel_btm_x,r_heel_btm_z,r_heel_btm_terrain_z,r_heel_btm_clearance,r_heel_btm_surface,r_heel_btm_edge_margin,r_toe_btm_x,r_toe_btm_z,r_toe_btm_terrain_z,r_toe_btm_clearance,r_toe_btm_surface,r_toe_btm_edge_margin,l_heel_btm_x,l_heel_btm_z,l_heel_btm_terrain_z,l_heel_btm_clearance,l_heel_btm_surface,l_heel_btm_edge_margin,l_toe_btm_x,l_toe_btm_z,l_toe_btm_terrain_z,l_toe_btm_clearance,l_toe_btm_surface,l_toe_btm_edge_margin
0,0,0.3499999940395355,0.9486675262451172,4,-0.009750526470195172,0.10389779403956927,0.0,0.10389779403956927,,,0.13803236778615077,0.04237368487708483,0.02237367201575189,0.02000001286133294,,,0.6198886360599211,0.17530549316320196,0.10047777381449804,0.07482771934870391,,,0.766232405803678,0.24017845272765667,0.12419864130601439,0.11597981142164228,,
1,1,0.390291303396225,0.9663066267967224,9,0.04747443456375295,0.1349518382284626,0.007695132997416098,0.1272567052310465,,,0.18293239148892762,0.049651535744230174,0.029651518653735935,0.02000001709049424,,,0.6502002439835265,0.18395063023467523,0.10539098355529956,0.07855964667937566,,,0.7945557526218683,0.2531350716016514,0.12878957372470873,0.12434549787694266,,
2,2,0.4235875830054283,0.9738672375679016,8,0.10008295212990395,0.15819700568144499,0.016222449714054215,0.14197455596739078,,,0.22347834069870245,0.056223589299009,0.03622361318298631,0.019999976116022694,,,0.6700112342095803,0.17988231391073103,0.10860214775348023,0.0712801661572508,,,0.8131188326944279,0.25161246825684563,0.13179846411619311,0.11981400414065252,,
3,3,0.46113797277212143,0.971433162689209,4,0.16578649304913354,0.17448636041778728,0.026872339289793774,0.14761402112799352,,,0.28344473193614733,0.06594356547771436,0.04594356793731939,0.01999999754039497,,,0.6877920036454098,0.1608708290900721,0.11148423338256462,0.04938659570750749,,,0.8299932077101674,0.23438149048300333,0.13453363223746934,0.099847858245534,,
4,4,0.49781833589076996,0.9631057977676392,5,0.23347105237391702,0.18330405414512987,0.037843332218130306,0.14546072192699958,,,0.35661605875869307,0.08102841203673797,0.057803911228838906,0.023224500807899062,,,0.6966874887143591,0.1329260908737776,0.11292610291321002,0.01999998796056758,,,0.8388457098766724,0.20651984014199287,0.13596853466773823,0.07055130547425464,,
5,5,0.528979554772377,0.981173038482666,4,0.29503604542687084,0.21345665234064487,0.04782240440468331,0.16563424793596157,,,0.42551338370942404,0.12071688828005633,0.06897148138599589,0.051745406894060444,,,0.6970272596866169,0.13298121632975823,0.11298117640369412,0.02000003992606411,,,0.839788551179109,0.20539815795192157,0.1361213598521638,0.06927679809975776,,
6,6,0.565156951546669,1.0001646280288696,2,0.3726440088404596,0.2405588131980899,0.06040188229871045,0.18015693089937945,,,0.5116980248180995,0.16125572133103946,0.08294115331068673,0.07831456802035273,,,0.690200124906057,0.1318746016523022,0.11187456585402776,0.020000035798274432,,,0.8343777357353525,0.20142901441614047,0.1352443205604527,0.06618469385568776,,
7,7,0.601098895072937,1.0150917768478394,2,0.45766919776227727,0.2549794286322776,0.07418361857205542,0.18079581006022222,,,0.6050421766345154,0.19247978914271888,0.09807131061237566,0.09440847853034322,,,0.6777588970586337,0.12985798174662255,0.10985796673458981,0.020000015012032746,,,0.824061264243851,0.1948242590061711,0.13357212328373635,0.061252135722434736,,
8,8,0.6316625475883484,1.0243265628814697,2,0.5387099075603264,0.2572063711809524,0.0873195104648496,0.16988686071610282,,,0.6924888060088725,0.21274233728883268,0.11224553826553038,0.1004967990233023,,,0.6660106482328368,0.12795370632219177,0.10795369261248644,0.020000013709705333,,,0.8144049916035871,0.18798801906160711,0.1320069376652251,0.055981081396382026,,
9,9,0.6670795679092407,1.0316643714904785,2,0.6442481213369586,0.25202363220168406,0.10442620375743247,0.14759742844425158,,,0.8031049764150002,0.23228788852274507,0.13017531775130645,0.10211257077143862,,,0.6541205557933847,0.12602642748394335,0.10602642705337195,0.020000000430571402,,,0.8048801935189478,0.17984586182444948,0.13046306276269398,0.049382799061755495,,
10,10,0.702079176902771,1.0361512899398804,2,0.7622085945908118,0.24521909512016565,0.12354642158556846,0.1216726735345972,,,0.922112244685128,0.2526905530902938,0.14946521062550217,0.10322534246479165,,,0.6476899664224962,0.12498411253372396,0.10498409256502106,0.020000019968702903,,,0.8004161411813496,0.17293946101702082,0.1297394843407306,0.04319997667629022,,
11,11,0.7319206595420837,1.0385130643844604,2,0.8693075957740377,0.24377256540208522,0.1409061029713176,0.10286646243076764,,,1.026432982214203,0.27437669743005666,0.16637456314441945,0.10800213428563721,,,0.6463469305815999,0.12476637265179162,0.10476639983184874,0.019999972819942882,,,0.8003597550843407,0.168413248939583,0.12973034471601097,0.03868290422357204,,
12,12,0.7673249542713165,1.0393768548965454,2,0.9903156246608492,0.24955315251397792,0.16052029921390204,0.08903285330007588,,,1.1411920128169546,0.30304441701860374,0.18497585900518068,0.11806855801342306,,,0.6456532397539855,0.12465399472493857,0.1046539594578531,0.020000035267085478,,,0.8008825575624945,0.1637546191355548,0.12981508579060702,0.033939533344947787,,
13,13,0.8042966723442078,1.0371750593185425,2,1.0933243938632402,0.2588930876927073,0.17721699473426836,0.08167609295843895,,,1.237468397004319,0.32851712203020483,0.20058130196916593,0.1279358200610389,,,0.6416949264134775,0.12401231228244053,0.10401235629015762,0.01999995599228291,,,0.7981273158336957,0.15798152617423356,0.12936848854857635,0.0286130376256572,,
14,14,0.8373940885066986,1.0320450067520142,2,1.159878899467376,0.26315466412325744,0.18800481720982296,0.07514984691343449,,,1.2999908893788668,0.34057320217761905,0.21071557525905607,0.12985762691856298,,,0.635384392299123,0.12298949986230699,0.10298948156314054,0.02000001829916645,,,0.7929495847054199,0.15124211228776768,0.1285292299028849,0.022712882384882782,,
15,15,0.877522200345993,1.0290696620941162,2,1.211310844132666,0.2654849489855322,0.1963414231778976,0.06914352580763461,,,1.3504149357131756,0.34470017129363706,0.21888881094634605,0.125811360347291,,,0.6287959793392888,0.12825350729181115,0.10192156544294448,0.02633194184886667,,,0.7876913211167791,0.1476769556408658,0.12767691774747156,0.020000037893394246,,
16,16,0.919748455286026,1.0291986465454102,2,1.2377718993174731,0.26275193098317684,0.2006304966712452,0.06212143431193165,,,1.37951146955742,0.3371487991877733,0.22360506928102097,0.11354372990675232,,,0.6259306895809368,0.14029250465558302,0.10145713051140162,0.038835374144181395,,,0.7858518719623806,0.14737878884678268,0.12737876136045714,0.02000002748632554,,
17,17,0.9579836428165436,1.0304385423660278,4,1.245340588917407,0.25653416845730437,0.20185730587124603,0.054676862586058333,,,1.390440521169055,0.3241434094750699,0.22537655969391296,0.09876684978115696,,,0.6268006573670677,0.15536222268537753,0.10159814362465429,0.05376407906072324,,,0.7866862602892755,0.14751403973340269,0.12751400739773908,0.02000003233566361,,
18,18,1.003821462392807,1.0341312885284424,8,1.2474814782480772,0.24997717681733705,0.20220432270848995,0.0477728541088471,,,1.3951056797222643,0.31188109414236614,0.226132735430409,0.08574835871195716,,,0.6321580949091441,0.18058932910013176,0.10246653089014696,0.0781227982099848,,,0.7888557853245468,0.14786573250579343,0.1278656657974872,0.02000006670830623,,
19,19,1.0494491755962372,1.039536476135254,8,1.2496183847072004,0.24295284009569465,0.2025506939619255,0.04040214613376916,,,1.3980018125208937,0.3030141271336378,0.22660216971158414,0.07641195742205364,,,0.6470812038827883,0.21443845822577737,0.10488541822060932,0.10955304000516805,,,0.7929620955935427,0.14853121087367915,0.12853125779324115,0.019999953080438004,,
20,20,1.0871982276439667,1.044299840927124,8,1.2569877914875398,0.2359197505813891,0.20374520140172697,0.032174549179662115,,,1.4049266913961538,0.29706778193777805,0.22772462360547022,0.06934315833230784,,,0.6783721107326662,0.24585898795718586,0.1099573625635423,0.13590162539364356,,,0.8071982027620671,0.15083879200922662,0.13083878897363155,0.02000000303559507,,
21,21,1.1285894811153412,1.0492072105407715,5,1.2708596461789519,0.22599366549016722,0.20599369088353214,0.01999997460663508,,,1.4178032541466365,0.28949623166036625,0.22981178617675846,0.059684445483607795,,,0.7359991568552136,0.28140285825704964,0.11929813277462784,0.1621047254824218,,,0.8416252505893489,0.16111932770342063,0.1364190705330376,0.024700257170383044,,
22,22,1.1675989925861359,1.068081021308899,4,1.2835040473945656,0.22804327150464976,0.20804322238234702,0.020000049122302743,,,1.4297361831063284,0.29316747828897205,0.2317459951091521,0.06142148317981996,,,0.805576405840697,0.3247482188876498,0.1305759118457748,0.19417230704187502,,,0.8986877984761755,0.19453582370841468,0.14566834120251523,0.04886748250589945,,
23,23,1.1999419629573822,1.0848625898361206,5,1.2936822497259988,0.22969306973073098,0.20969300760537712,0.02000006212535385,,,1.4395810353766518,0.2955606958131761,0.2333417476074429,0.06221894820573323,,,0.8736774665536995,0.3505233824372177,0.1416144155007878,0.2089089669364299,,,0.9717789452774266,0.22402793110152383,0.1575156881111759,0.06651224299034794,,
24,24,1.2370961606502533,1.1038309335708618,2,1.3077205097998668,0.23196843148694923,0.21196846974228079,0.01999996174466845,,,1.4535109405281381,0.29807554250252977,0.23559964649064352,0.062475896011886245,,,0.9678702098620152,0.3648128699276348,0.15688212103134244,0.20793074889629234,,,1.0825543073734865,0.2531322661474002,0.1754712709843407,0.07766099516305949,,
25,25,1.2741048634052277,1.1206833124160767,2,1.3197210114045945,0.23391364490504155,0.21391363152741116,0.020000013377630382,,,1.4661582215600237,0.29857540569528285,0.23764964477899309,0.06092576091628976,,,1.0743448361340708,0.3669097955238333,0.17414059746276497,0.19276919806106832,,,1.2068707004039143,0.27712173971913107,0.19562172010329848,0.08150001961583259,,
26,26,1.305657297372818,1.1320542097091675,2,1.3236572473014496,0.23455165007929002,0.21455165616138186,0.01999999391790816,,,1.4714590653117419,0.29603028405975584,0.23850885875474284,0.057521425305013,,,1.1703687013924557,0.36284607972300253,0.1897051096234512,0.17314097009955134,,,1.3153328198771699,0.29494612272193255,0.21320234938720325,0.08174377333472929,,
27,27,1.3418869078159332,1.140765905380249,2,1.3212182091987201,0.23415630199162252,0.2141563123777489,0.019999989613873614,,,1.4710717639689457,0.29044939207651577,0.23844608106459694,0.052003311011918824,,,1.2865742221339624,0.35418480710438344,0.20854086712866285,0.1456439399757206,,,1.4415741745418462,0.3141846235148302,0.23366481561445482,0.08051980790037536,,
28,28,1.3777041137218475,1.1443949937820435,2,1.312676003895883,0.23277174167355108,0.2127717059785238,0.020000035695027285,,,1.464719772306187,0.28284860642759546,0.23741648648190075,0.04543211994569471,,,1.4066186168232808,0.3447271755678042,0.22799886786563026,0.11672830770217393,,,1.56634058605575,0.33405513078816,0.25388820824739994,0.08016692254076008,,
29,29,1.4083429276943207,1.1436644792556763,2,1.302123620814576,0.2310612245676897,0.21106126978277948,0.019999954784910234,,,1.4559282029100813,0.2754363352127624,0.2359914606468232,0.0394448745659392,,,1.5109247057660782,0.3385189450459678,0.24490584599461182,0.09361309905135598,,,1.6703759374449312,0.3526718496167505,0.2707513025154864,0.08192054710126412,,
30,30,1.4443049132823944,1.1392300128936768,2,1.2890622565300562,0.22894419324178636,0.20894415272344707,0.020000040518339285,,,1.4445222514903544,0.2671173501260622,0.2341426695249616,0.03297468060110059,,,1.6302152675716655,0.3355883717644925,0.26424165792930193,0.07134671383519059,,,1.7850033285246387,0.3764008222831837,0.28933126092069184,0.08706956136249189,,
31,31,1.4813376367092133,1.1303915977478027,2,1.2731601383154139,0.226366563467745,0.20636657774595096,0.01999998572179404,,,1.430103615240442,0.2578902848449966,0.23180555219846785,0.026084732646528747,,,1.7334333216045075,0.33440344027458313,0.2809722764362075,0.05343116383837565,,,1.8814831565912449,0.3952823874295273,0.3049696801112011,0.09031270731832619,,
32,32,1.514601081609726,1.120464563369751,2,1.2593368572227313,0.22512696257811768,0.20412596156070678,0.021001001017410897,,,1.4175077257418003,0.24976385212917274,0.22976388396579742,0.01999996816337532,,,1.799894680399554,0.3314760197256785,0.2917450007417509,0.03973101898392756,,,1.9438408145260353,0.40150822850593393,0.31507723538015764,0.08643099312577629,,
33,33,1.5556466281414032,1.1169085502624512,2,1.2524468572138154,0.23363885498414963,0.2030091611836616,0.030629693800488023,,,1.411801675259992,0.24883891932244084,0.2288389900149591,0.019999929307481734,,,1.852359069437471,0.3329170620630575,0.30024895565948245,0.03266810640357504,,,1.9954869144924747,0.40460680858771025,0.3234485537895618,0.08115825479814848,,
34,34,1.5997092425823212,1.1187596321105957,2,1.2619227426878614,0.2468593861838176,0.20454510783918514,0.042314278344632444,,,1.4219597720874737,0.2504855715627378,0.2304855163360495,0.020000055226688324,,,1.8854413446227836,0.33501886365989464,0.30561126296756075,0.02940760069233389,,,2.03107972638267,0.40146027826919567,0.329217794092556,0.07224248417663964,,
35,35,1.6396115720272064,1.1273348331451416,4,1.2852794886488643,0.2634053430139473,0.20833100372627394,0.05507433928767336,,,1.4450947376106376,0.2542354904633752,0.23423546382309773,0.020000026640277446,,,1.909547877308335,0.3416421647774601,0.3095186918148231,0.03212347296263701,,,2.057309601408465,0.40321710069880057,0.3334693955846821,0.06974770511411849,,
36,36,1.686425656080246,1.1443136930465698,4,1.3257734922279945,0.2905418749003099,0.2148946783861753,0.07564719651413462,,,1.4829837831206967,0.2603769217311844,0.24037690072538503,0.02000002100579934,,,1.9412630992080222,0.3560511776508216,0.3146594134011523,0.04139176424966934,,,2.0892410090112423,0.41710474475121095,0.3386451587202726,0.07845958603093833,,
37,37,1.724939078092575,1.1602442264556885,4,1.3692999002395967,0.3196082969115817,0.2219498756018322,0.0976584213097495,,,1.5202843878145373,0.2664229192742888,0.24642295723223387,0.019999962042054925,,,1.9708446285317995,0.3674434144591794,0.31945428467250453,0.047989129786674856,,,2.117471361552385,0.43167425590324765,0.34322101769288055,0.0884532382103671,,
