reset_index,step,reference_index,reward,done,mean_raw_action,min_raw_action,max_raw_action,mean_target_activation,mean_ctrl,max_ctrl,mean_act_state
344,0,344,-0.5502969549941263,False,-0.17923319339752197,-0.9775262475013733,0.981330156326294,0.410383403301239,0.410383403301239,0.990665078163147,0.3893965482711792
344,1,345,-1.1215399225447724,False,-0.12848512828350067,-0.9929330945014954,0.9872481822967529,0.43575745820999146,0.43575745820999146,0.9936240911483765,0.4701145887374878
344,2,346,-0.5376981845418266,False,-0.2592816650867462,-0.9591667652130127,0.8923566341400146,0.3703591525554657,0.3703591525554657,0.9461783170700073,0.42332905530929565
344,3,347,-0.419154033469328,False,-0.32290127873420715,-0.94562166929245,0.6395288705825806,0.33854934573173523,0.33854934573173523,0.8197644352912903,0.3787934184074402
344,4,348,-0.46137303675304,False,-0.2609294354915619,-0.9052335023880005,0.5620940923690796,0.36953526735305786,0.36953526735305786,0.7810470461845398,0.3993254601955414
344,5,349,-0.6974627845549246,False,-0.2395506352186203,-0.9028072357177734,0.6645568609237671,0.38022467494010925,0.38022467494010925,0.8322784304618835,0.4033972918987274
344,6,350,-0.975715563256661,False,-0.23053616285324097,-0.8691824674606323,0.663056492805481,0.38473188877105713,0.38473188877105713,0.8315282464027405,0.40109845995903015
344,7,351,-1.2314593329542103,False,-0.25174111127853394,-0.8624743223190308,0.5657198429107666,0.37412941455841064,0.37412941455841064,0.7828599214553833,0.3999394178390503
344,8,352,-1.4115093786648638,False,-0.25134292244911194,-0.8892265558242798,0.8023521900177002,0.37432849407196045,0.37432849407196045,0.9011760950088501,0.4057140648365021
344,9,353,-0.9820861178256541,False,-0.27548253536224365,-0.9645535349845886,0.7437227964401245,0.36225876212120056,0.36225876212120056,0.8718613982200623,0.4022834002971649
344,10,354,-0.9545434087691863,False,-0.24599899351596832,-0.9319136738777161,0.9586389064788818,0.37700051069259644,0.37700051069259644,0.9793194532394409,0.41839951276779175
344,11,355,-0.5247032185324303,False,-0.26611459255218506,-0.890730619430542,0.7158812284469604,0.36694270372390747,0.36694270372390747,0.8579406142234802,0.4030047655105591
344,12,356,-0.7577890218260699,False,-0.3092247247695923,-0.9031581878662109,0.7529284954071045,0.34538766741752625,0.34538766741752625,0.8764642477035522,0.3804487884044647
344,13,357,-1.130979278734358,False,-0.23044662177562714,-0.9366980195045471,0.9637374877929688,0.38477668166160583,0.38477668166160583,0.9818687438964844,0.40349188446998596
344,14,358,-1.1826993109940864,False,-0.15917986631393433,-0.9527230858802795,0.8835910558700562,0.42041006684303284,0.42041006684303284,0.9417955279350281,0.4452377259731293
344,15,359,-1.6894305711447752,False,0.059303488582372665,-0.9971510171890259,0.9702980518341064,0.5296517610549927,0.5296517610549927,0.9851490259170532,0.5528010725975037
344,16,360,-2.0866384297083034,False,0.1373019814491272,-0.9969351887702942,0.9967514276504517,0.5686509609222412,0.5686509609222412,0.9983757138252258,0.5849791765213013
344,17,361,-2.113082103535631,False,0.12276396155357361,-0.991485059261322,0.9724993705749512,0.561381995677948,0.561381995677948,0.9862496852874756,0.5808153748512268
344,18,362,-1.746785988530639,False,-0.13663335144519806,-0.9771121740341187,0.9589810371398926,0.43168336153030396,0.43168336153030396,0.9794905185699463,0.48611852526664734
344,19,363,-1.1694215787981221,False,-0.1656879037618637,-0.970024049282074,0.9795970916748047,0.41715604066848755,0.41715604066848755,0.9897985458374023,0.46099016070365906
344,20,364,-1.1678243261998185,False,-0.1530095636844635,-0.9564635753631592,0.8576774597167969,0.42349520325660706,0.42349520325660706,0.9288387298583984,0.46256402134895325
344,21,365,-1.135242030057726,False,-0.26366811990737915,-0.9367994070053101,0.6673992872238159,0.3681659400463104,0.3681659400463104,0.833699643611908,0.40710410475730896
344,22,366,-0.8989906923505091,False,-0.266497403383255,-0.972950279712677,0.7366325855255127,0.3667512834072113,0.3667512834072113,0.8683162927627563,0.4027542173862457
344,23,367,-0.6460114426191463,False,-0.29917192459106445,-0.9580273628234863,0.8464250564575195,0.3504140377044678,0.3504140377044678,0.9232125282287598,0.3840654492378235
344,24,368,-0.9282202903442949,False,-0.30062317848205566,-0.9432873725891113,0.8396458625793457,0.34968841075897217,0.34968841075897217,0.9198229312896729,0.3833557963371277
344,25,369,-1.4872486809009302,False,-0.23048077523708344,-0.9411364793777466,0.8229011297225952,0.38475969433784485,0.38475969433784485,0.9114505648612976,0.41007643938064575
344,26,370,-1.8363713853769492,False,-0.12596243619918823,-0.9499288201332092,0.9334166049957275,0.4370187819004059,0.4370187819004059,0.9667083024978638,0.46394187211990356
344,27,371,-2.0079154176305156,False,-0.06458695232868195,-0.9048998355865479,0.9072024822235107,0.467706561088562,0.467706561088562,0.9536012411117554,0.49499911069869995
344,28,372,-1.6199947005290043,False,-0.0464002750813961,-0.9678868651390076,0.934982180595398,0.476799875497818,0.476799875497818,0.967491090297699,0.5099977850914001
344,29,373,-1.1911182551144297,False,-0.15197986364364624,-0.9715754985809326,0.9361257553100586,0.42401009798049927,0.42401009798049927,0.9680628776550293,0.47899726033210754
344,30,374,-1.258054229603791,False,-0.14066675305366516,-0.9875202178955078,0.9733138084411621,0.4296666383743286,0.4296666383743286,0.986656904220581,0.47009408473968506
344,31,375,-1.1974371586376726,False,-0.17588728666305542,-0.9798557758331299,0.9658840894699097,0.4120563566684723,0.4120563566684723,0.9829420447349548,0.4517490267753601
344,32,376,-1.3141216468190522,False,-0.23003144562244415,-0.9837539792060852,0.9689903259277344,0.3849842846393585,0.3849842846393585,0.9844951629638672,0.41537731885910034
344,33,377,-1.1045744209075217,False,-0.2932910919189453,-0.9902712106704712,0.9521379470825195,0.35335445404052734,0.35335445404052734,0.9760689735412598,0.3928983509540558
344,34,378,-1.0123057958401493,False,-0.33980661630630493,-0.9741678237915039,0.8792476654052734,0.33009669184684753,0.33009669184684753,0.9396238327026367,0.36313194036483765
344,35,379,-0.9608776520207039,False,-0.3318312466144562,-0.9549424052238464,0.7985856533050537,0.3340843915939331,0.3340843915939331,0.8992928266525269,0.36435291171073914
344,36,380,-0.9910193129093152,False,-0.3183645009994507,-0.9301899671554565,0.8257560729980469,0.34081774950027466,0.34081774950027466,0.9128780364990234,0.36019381880760193
344,37,381,-0.8069028830273484,False,-0.20814748108386993,-0.9666805267333984,0.8918278217315674,0.39592626690864563,0.39592626690864563,0.9459139108657837,0.40686333179473877
344,38,382,-1.0760576345108106,False,-0.2616100311279297,-0.9483546018600464,0.9496687650680542,0.36919498443603516,0.36919498443603516,0.9748343825340271,0.3952852487564087
344,39,383,-1.5453130387039526,False,-0.27662187814712524,-0.9508042931556702,0.9781326055526733,0.3616890609264374,0.3616890609264374,0.9890663027763367,0.38981932401657104
344,40,384,-1.9371835907130424,False,-0.25489455461502075,-0.9470422863960266,0.9725325107574463,0.37255269289016724,0.37255269289016724,0.9862662553787231,0.39286747574806213
344,41,385,-2.0404624180789748,False,-0.24031858146190643,-0.9259546995162964,0.9594920873641968,0.3798407316207886,0.3798407316207886,0.9797460436820984,0.39605921506881714
344,42,386,-2.463330200033698,False,-0.23245248198509216,-0.9072535634040833,0.7965043783187866,0.3837738037109375,0.3837738037109375,0.8982521891593933,0.4013810157775879
344,43,387,-2.943393759656045,False,-0.21857890486717224,-0.7948150038719177,0.6372766494750977,0.3907105326652527,0.3907105326652527,0.8186383247375488,0.4095138609409332
344,44,388,-3.71647832208477,False,-0.22170911729335785,-0.9532777070999146,0.8290544748306274,0.38914546370506287,0.38914546370506287,0.9145272374153137,0.40965327620506287
344,45,389,-4.116952953783207,False,-0.29687854647636414,-0.9537454843521118,0.9495248794555664,0.35156071186065674,0.35156071186065674,0.9747624397277832,0.38430625200271606
344,46,390,-4.0380311199614525,False,-0.20269173383712769,-0.9968023896217346,0.7228691577911377,0.39865416288375854,0.39865416288375854,0.8614345788955688,0.417598694562912
344,47,391,-3.2808936185536246,True,-0.17264339327812195,-0.9935804009437561,0.8760926723480225,0.41367828845977783,0.41367828845977783,0.9380463361740112,0.44298306107521057
762,0,762,-3.9415570216479985,False,-0.1036895290017128,-0.9916751384735107,0.9744222164154053,0.4481552243232727,0.4481552243232727,0.9872111082077026,0.4212415814399719
762,1,763,-2.0053375323968208,False,0.09766034781932831,-0.9908631443977356,0.9851279258728027,0.5488302707672119,0.5488302707672119,0.9925639629364014,0.5653294920921326
762,2,764,-0.9448286809182024,False,-0.2674398124217987,-0.9973945021629333,0.9591042995452881,0.36628007888793945,0.36628007888793945,0.979552149772644,0.45164012908935547
762,3,765,-1.0082506257810584,False,-0.04009724035859108,-0.9968701601028442,0.9800841808319092,0.4799513816833496,0.4799513816833496,0.9900420904159546,0.5106974244117737
762,4,766,-1.3728387664128006,False,-0.07515167444944382,-0.9945410490036011,0.9497493505477905,0.462424099445343,0.462424099445343,0.9748746752738953,0.49159640073776245
762,5,767,-1.223671586358011,False,-0.21658717095851898,-0.9910618662834167,0.9406721591949463,0.3917063772678375,0.3917063772678375,0.9703360795974731,0.43300020694732666
762,6,768,-1.0832280110919545,False,-0.30080708861351013,-0.9521759152412415,0.7601823806762695,0.34959647059440613,0.34959647059440613,0.8800911903381348,0.3884509801864624
762,7,769,-1.0352275286366954,False,-0.29069530963897705,-0.972343385219574,0.6118484735488892,0.35465237498283386,0.35465237498283386,0.8059242367744446,0.3871191143989563
762,8,770,-0.4513982236868788,False,-0.3507952392101288,-0.9900959134101868,0.7258487939834595,0.3246023654937744,0.3246023654937744,0.8629243969917297,0.369133859872818
762,9,771,-1.2613770563182827,False,-0.3425769507884979,-0.9675959348678589,0.657172441482544,0.32871150970458984,0.32871150970458984,0.828586220741272,0.37525567412376404
762,10,772,-1.328319793279797,False,-0.1524178385734558,-0.9875432848930359,0.9768093824386597,0.4237910509109497,0.4237910509109497,0.9884046912193298,0.45575132966041565
762,11,773,-1.4974917560740149,False,-0.10533757507801056,-0.9537519812583923,0.9515209197998047,0.4473312199115753,0.4473312199115753,0.9757604598999023,0.4833708107471466
762,12,774,-1.021821220621955,False,-0.06403739005327225,-0.9154892563819885,0.9151310920715332,0.4679813086986542,0.4679813086986542,0.9575655460357666,0.509986937046051
762,13,775,-1.0359743934638017,False,-0.15997949242591858,-0.9587377905845642,0.9017645120620728,0.4200102984905243,0.4200102984905243,0.9508822560310364,0.47329673171043396
762,14,776,-1.1427732455798607,False,-0.13313935697078705,-0.9847774505615234,0.9243967533111572,0.4334303140640259,0.4334303140640259,0.9621983766555786,0.473061740398407
762,15,777,-1.0160852189433407,False,-0.13672930002212524,-0.9930432438850403,0.9691686630249023,0.43163537979125977,0.43163537979125977,0.9845843315124512,0.461940199136734
762,16,778,-1.158926561109093,False,-0.20837263762950897,-0.9909248352050781,0.971426248550415,0.3958136737346649,0.3958136737346649,0.9857131242752075,0.4296167492866516
762,17,779,-1.4200835268838117,False,-0.2773813307285309,-0.990540623664856,0.9723148345947266,0.36130931973457336,0.36130931973457336,0.9861574172973633,0.39149558544158936
762,18,780,-1.2162439158270415,False,-0.33819782733917236,-0.9881505370140076,0.9176487922668457,0.33090105652809143,0.33090105652809143,0.9588243961334229,0.36747777462005615
762,19,781,-0.9953848933694228,False,-0.33895060420036316,-0.957665205001831,0.658399224281311,0.3305247128009796,0.3305247128009796,0.8291996121406555,0.35681188106536865
762,20,782,-0.9975024130491772,False,-0.39167025685310364,-0.9755473136901855,0.6108390092849731,0.304164856672287,0.304164856672287,0.8054195046424866,0.3452043831348419
762,21,783,-0.8912238572477595,False,-0.35936322808265686,-0.9139468669891357,0.8934636116027832,0.32031840085983276,0.32031840085983276,0.9467318058013916,0.34370172023773193
762,22,784,-0.8450585948584175,False,-0.322890967130661,-0.9363741874694824,0.9543297290802002,0.3385545015335083,0.3385545015335083,0.9771648645401001,0.35383912920951843
762,23,785,-1.0554738445530052,False,-0.32847586274147034,-0.9445744752883911,0.9727156162261963,0.33576205372810364,0.33576205372810364,0.9863578081130981,0.35387784242630005
762,24,786,-1.2644587464475308,False,-0.29778310656547546,-0.9689420461654663,0.9855337142944336,0.3511084318161011,0.3511084318161011,0.9927668571472168,0.3675563633441925
762,25,787,-1.4164520981281994,False,-0.24919191002845764,-0.9654998779296875,0.948509693145752,0.3754040598869324,0.3754040598869324,0.974254846572876,0.3898930251598358
762,26,788,-1.9376246612722707,False,-0.27513179183006287,-0.9471659064292908,0.8174219131469727,0.36243411898612976,0.36243411898612976,0.9087109565734863,0.38119181990623474
