frame,phase,pelvis_tx,pelvis_ty,ncon,r_heel_btm_x,r_heel_btm_z,r_heel_btm_terrain_z,r_heel_btm_clearance,r_heel_btm_surface,r_heel_btm_edge_margin,r_toe_btm_x,r_toe_btm_z,r_toe_btm_terrain_z,r_toe_btm_clearance,r_toe_btm_surface,r_toe_btm_edge_margin,l_heel_btm_x,l_heel_btm_z,l_heel_btm_terrain_z,l_heel_btm_clearance,l_heel_btm_surface,l_heel_btm_edge_margin,l_toe_btm_x,l_toe_btm_z,l_toe_btm_terrain_z,l_toe_btm_clearance,l_toe_btm_surface,l_toe_btm_edge_margin
0,96,0.3499999940395355,0.9620450735092163,2,0.3172770385694269,0.1421182719612041,0.051427447872799945,0.09069082408840416,,,0.4769679465408466,0.13099110223441612,0.07731175353352368,0.05367934870089244,,,0.18413009435803107,0.054763964382869144,0.02984565435969703,0.024918310023172116,,,0.3428499759703877,0.07557259631776973,0.055572566319039174,0.02000002999873056,,
1,97,0.37984147667884827,0.9641032814979553,2,0.42633207109302707,0.13337501399930027,0.0691041824567516,0.06427083154254867,,,0.5859259119257818,0.1458171183964353,0.09497275450108644,0.050844363895348854,,,0.18432821197667548,0.05893634045534594,0.029877767252427807,0.02905857320291813,,,0.34352798389356765,0.07568246269243242,0.05568246465042773,0.01999999804200469,,
2,98,0.41524574160575867,0.9647278785705566,2,0.5523523070430766,0.13278499313015718,0.08953080754270457,0.043254185587452615,,,0.7081823220713829,0.16941839811279819,0.11478930091184332,0.054629097200954865,,,0.18836254799017366,0.06319888025194245,0.030531692938229167,0.032667187313713285,,,0.34789618414535883,0.07639050365045129,0.056390506403968574,0.019999997246482715,,
3,99,0.4522174894809723,0.9632310271263123,2,0.6625420118425127,0.14013566924401777,0.10739146120123336,0.03274420804278441,,,0.8130551122097209,0.19464077446036893,0.13178813566027814,0.06285263880009079,,,0.19185774345486212,0.06732315483456293,0.031098229310908335,0.0362249255236546,,,0.3516432249885154,0.07699785830168453,0.05699786440411746,0.01999999389756707,,
4,100,0.4853149354457855,0.9608346819877625,2,0.7373892495383058,0.14839630738066198,0.11952345295323395,0.028872854427428027,,,0.8840987378285347,0.21243790226655695,0.14330359977857668,0.06913430248798028,,,0.19506022284782565,0.07146287048000767,0.031617319323812974,0.039845551156194696,,,0.35502271819347264,0.07754563968977994,0.0575456465928887,0.01999999309689124,,
5,101,0.5254430770874023,0.9580566883087158,3,0.7978375468098218,0.15472649103033864,0.12932151987590587,0.02540497115443277,,,0.9429871469753404,0.2222290345588543,0.1528488243727188,0.0693802101861355,,,0.19961773510779315,0.07855191853372985,0.0323560466683316,0.04619587186539825,,,0.35969564767068657,0.07830310232835386,0.05830308191876749,0.020000020409586365,,
6,102,0.5676692724227905,0.9573184847831726,8,0.8333388720480077,0.15718871669957787,0.13507593110381644,0.022112785595761436,,,0.9799670080433063,0.221416355325519,0.15884289153241982,0.0625734637930992,,,0.20873661095578452,0.08951782190402038,0.03383412561928755,0.05568369628473283,,,0.36851536546863806,0.07973264932759906,0.059732670329426155,0.019999978998172907,,
7,103,0.6059044599533081,0.9593770503997803,8,0.849909160532816,0.1586973249679188,0.13776180982713054,0.020935515140788258,,,0.9986918548428101,0.21776262551887787,0.16187800269914526,0.05588462281973261,,,0.22173528204840243,0.10335069135429825,0.03594108073663683,0.06740961061766143,,,0.3803354704709766,0.08164861281809714,0.061648591622059414,0.020000021196037727,,
8,104,0.6517423391342163,0.9644428491592407,8,0.8608749732102452,0.16050582133855112,0.13953925884264756,0.020966562495903562,,,1.0111762339098498,0.21559239780016745,0.16390159620149689,0.051690801598670566,,,0.23918878036085509,0.12711003467551388,0.03877011897624221,0.08833991569927166,,,0.39328178498519933,0.08374707988850509,0.06374706025952236,0.020000019628982735,,
9,105,0.6973700523376465,0.9720801711082458,5,0.8714447224375714,0.16195190884621696,0.14125250991769484,0.020699398928522128,,,1.021778275316169,0.21695029749036296,0.16562008151712884,0.05133021597323412,,,0.26548273932979993,0.15932123791454383,0.043032107837276845,0.11628913007726699,,,0.4078364019210859,0.0861062495273393,0.06610621870084489,0.020000030826494417,,
10,106,0.735119104385376,0.9807379245758057,5,0.8868053658731255,0.16374234730546317,0.14374231722658953,0.020000030078873632,,,1.036114201980998,0.22146471144565738,0.16794379244366803,0.05352091900198935,,,0.30669529765313325,0.19024064365539142,0.04971225306440827,0.14052839059098315,,,0.43216983853161905,0.09083672430840169,0.07005042641438367,0.02078629789401802,,
11,107,0.7765103578567505,0.9950822591781616,4,0.907717693315668,0.16713202163497784,0.14713199721824435,0.020000024416733486,,,1.0555191447675984,0.22861153685712093,0.1710891403961458,0.05752239646097512,,,0.3725903253573086,0.231302717271078,0.060393180740779165,0.17090953653029883,,,0.4757246759714946,0.10887598366360343,0.07711023175720659,0.03176575190639684,,
12,108,0.8155198097229004,1.0121561288833618,4,0.9260830505390255,0.1701088379597087,0.15010883870519265,0.019999999254516038,,,1.072731547567858,0.23428997341517088,0.173879099454536,0.06041087396063488,,,0.44831554368317533,0.27029347973451584,0.07266748440822764,0.19762599532628822,,,0.5401683974016093,0.13919026638351711,0.08755591714156273,0.05163434924195438,,
13,109,0.8478628396987915,1.0280120372772217,4,0.9401585172604601,0.1723903709478296,0.15239033166908866,0.020000039278740944,,,1.0861801084596439,0.2379853000598973,0.176058977227428,0.061926322832469294,,,0.5202378202636408,0.29395770246506436,0.08432536909604635,0.20963233336901801,,,0.6180220155093648,0.16721682313257982,0.10017521321479354,0.06704160991778628,,
14,110,0.8850170373916626,1.0466824769973755,2,0.9556345188987536,0.1748988941253644,0.1548988373936797,0.0200000567316847,,,1.1014686790901396,0.24090948070481624,0.17853710225246788,0.06237237845234836,,,0.6157497200526775,0.30766306088923334,0.09980689675332728,0.20785616413590607,,,0.7304461799076494,0.19599515332581202,0.11839805051907808,0.07759710280673394,,
15,111,0.9220256805419922,1.0634658336639404,2,0.9676365128374177,0.17684425646411847,0.15684424107127753,0.020000015392840936,,,1.1141651826256656,0.24129849416651938,0.1805950790184014,0.06070341514811797,,,0.7221792423884491,0.3096801864289527,0.11705806228591341,0.19262212414303925,,,0.8547263710185931,0.2199235245157827,0.1385426316674586,0.08138089284832412,,
16,112,0.9535781145095825,1.074764370918274,2,0.9715816643124655,0.17748373632900638,0.1574837108316741,0.02000002549733229,,,1.1195299603502147,0.23860903014895218,0.1814646560543647,0.057144374094587475,,,0.8181458734682383,0.3055219529135572,0.13261329735630167,0.17290865555725554,,,0.9631371021299571,0.2376799053303023,0.15611493140972882,0.08156497392057349,,
17,113,0.9898077249526978,1.083415150642395,2,0.9691633588261507,0.17709176308110267,0.1570917275986651,0.02000003548243756,,,1.119214789043742,0.23285526512944427,0.1814135699246917,0.05144169520475256,,,0.9342855557056086,0.2967589730776645,0.1514383830957443,0.1453205899819202,,,1.0893090968657315,0.2568503070999203,0.1765661550833303,0.08028415201659,,
18,114,1.0256249904632568,1.0869951248168945,2,0.9606515633996502,0.17571206850349227,0.15571205033751181,0.02000001816598046,,,1.1129337043229555,0.22505930201079327,0.18039546865105602,0.044663833359737254,,,1.0542588286295007,0.2871914954274973,0.1708848557029089,0.11630663972458838,,,1.213989301851282,0.2766474961987827,0.19677557449664634,0.07987192170213636,,
19,115,1.05626380443573,1.0862213373184204,2,0.9501339350272914,0.17400726323741497,0.15400724753393105,0.02000001570348392,,,1.1042076896714066,0.21743856590769317,0.17898106858714588,0.03845749732054729,,,1.1584918523095058,0.2808648795837702,0.18777999068052187,0.09308488890324834,,,1.3179284936666207,0.295181212363595,0.21362308225556229,0.08155813010803273,,
20,116,1.0922257900238037,1.081761360168457,2,0.9371144045576321,0.17189695557229268,0.15189691131932276,0.020000044252969917,,,1.0928559986759458,0.20890446568427165,0.177141072539624,0.031763393144647656,,,1.277713862787166,0.2778113371501425,0.20710469112772625,0.07070664602241625,,,1.4324506904221814,0.3188176062283674,0.232185989708559,0.08663161651980841,,
21,117,1.1292585134506226,1.072904348373413,2,0.9212595793709066,0.16932701569550732,0.14932700207061342,0.020000013624893898,,,1.078475205937941,0.19946414770019605,0.17481008926948907,0.024654058430706977,,,1.3808692283854824,0.2765062215345383,0.22382514846377197,0.05268107307076633,,,1.5288290635816988,0.33760357838324556,0.2478079640691201,0.08979561431412547,,
22,118,1.1625219583511353,1.0645897388458252,2,0.9074866553149838,0.16973177757651306,0.14709454825947194,0.022637229317041124,,,1.065898067992632,0.19277140238807414,0.17277146047684844,0.0199999419112257,,,1.4472706940579019,0.2751054272941147,0.23458816469067306,0.04051726260344163,,,1.5910984861670598,0.34538035889986385,0.2579012172667582,0.08747914163310566,,
23,119,1.2035675048828125,1.0611822605133057,2,0.9006584044848316,0.17843452765653195,0.14598775680928253,0.03244677084724942,,,1.0601739051572736,0.19184366773944844,0.17184363069389869,0.020000037045549757,,,1.4996795943582968,0.2766270509697193,0.2430831254367201,0.0335439255329992,,,1.642672564279433,0.34858544407567094,0.26626086165095586,0.08232458242471508,,
24,120,1.2476301193237305,1.0631083250045776,3,0.9102103412286837,0.1918090760141609,0.14753603061817097,0.04427304539598992,,,1.0702797084857008,0.1934816984527837,0.17348168075963558,0.02000001769314813,,,1.5327095046807033,0.2787639632756371,0.24843694492207538,0.030327018353561747,,,1.678212013435922,0.34550240617941297,0.2720214523863091,0.07348095379310388,,
25,121,1.2875324487686157,1.0716519355773926,4,0.9336621491926413,0.2084606770485424,0.1513373351091212,0.0571233419394212,,,1.093345135079272,0.1972203917723401,0.1772203566788046,0.020000035093535512,,,1.5567737272420925,0.2853368165250745,0.2523375157196199,0.0329993008054546,,,1.704401695588099,0.34723175010733226,0.27626653901394277,0.07096521109338949,,
26,122,1.3343465328216553,1.088370442390442,4,0.9743237446845978,0.2356187809894904,0.15792817474887624,0.07769060624061416,,,1.1311141512974534,0.2033423445230654,0.18334233802837027,0.020000006494695133,,,1.5884632752671581,0.2994884733620125,0.25747407582658466,0.04201439753542785,,,1.7363035455738456,0.3608745818831479,0.28143751115420645,0.07943707072894146,,
27,123,1.3728599548339844,1.1038622856140137,8,1.018049973429879,0.26460622251985866,0.165015760915248,0.09959046160461066,,,1.1682959678403784,0.2093690879357465,0.18936914015908562,0.019999947776660865,,,1.6180343949761546,0.3104562776064846,0.2622672598030607,0.048189017803423884,,,1.7645144747898365,0.37502086577134425,0.28601022179926355,0.0890106439720807,,
28,124,1.4128599166870117,1.1103459596633911,5,1.0580499352829063,0.27108989643479076,0.17149935633200367,0.09959054010278709,,,1.2082959296934057,0.2158527618506786,0.19585273557584132,0.020000026274837268,,,1.658034356829182,0.3169399515214167,0.26875085521981634,0.04818909630160034,,,1.8045144366428638,0.38150453968627634,0.29249381721601925,0.0890107224702571,,
29,125,1.43997061252594,1.1191859245300293,5,1.1009616285927415,0.303027872814566,0.1784549144170626,0.1245729583975034,,,1.2382513980534056,0.22070825838153993,0.20070821864053243,0.020000039741007503,,,1.671793459559195,0.31355989670350204,0.2709810687316883,0.042578827971813726,,,1.8164330148757744,0.3821485170622863,0.29442570003853485,0.08772281702375145,,
